ID,Gene_ID
Alosa_mediocris,35993616
Sardinops_sagax,67148315
Limnothrissa_miodon,76815220
Stolothrissa_tanganicae,76815182
Amblygaster_sirm,33133216
Opisthonema_oglinum,84875655
Sardinella_aurita,89445488
Sardinella_brasiliensis,89445526
Sardinella_gibbosa,36271840
Sardinella_lemuru,38280767
Sardinella_longiceps,30863589
Cirrhinus_cirrhosus,31085099
Cyprinus_carpio,64984957
Luciobarbus_sclateri,29992580
Schizothorax_dulongensis,68222337
Rhodeus_amarus,29992808
Chrosomus_erythrogaster,29994024
Gila_coerulea,75517068
Gila_cypha,63652216
Gila_elegans,63880467
Ptychocheilus_lucius,63880429
Ptychocheilus_oregonensis,75516992
Siphateles_bicolor,75517106
Acrocheilus_alutaceus,31083493
Lavinia_exilicauda,31083569
Pseudochondrostoma_polylepis,29994176
Rutilus_rutilus,76828515
Scardinius_erythrophthalmus,29993682
Squalius_cephalus,29992884
Meda_fulgida,26129100
Semotilus_atromaculatus,31084177
Semotilus_corporalis,63880770
Rhynchocypris_oxycephalus,24570926
Pogonichthys_macrolepidotus,31084025
Richardsonius_egregius,75509248
Exoglossum_maxillingua,35993578
Oregonichthys_crameri,75508898
Rhinichthys_atratulus,31084063
Rhinichthys_cataractae,31084101
Cyprinella_venusta,86115041
Dionda_diaboli,63652368
Hybognathus_amarus,63652330
Hybognathus_nuchalis,29993910
Hybognathus_placitus,67137909
Hybopsis_amnis,83239857
Luxilus_chrysocephalus,31083379
Luxilus_cornutus,31083607
Luxilus_pilsbryi,86114850
Lythrurus_umbratilis,31083759
Macrhybopsis_hyostoma,28262424
Macrhybopsis_meeki,31083797
Notropis_atherinoides,31083417
Notropis_bifrenatus,31083873
Notropis_boops,86115154
Notropis_buccula,89431760
Notropis_buccatus,86115002
Notropis_chalybaeus,35993312
Notropis_chrosomus,31084215
Notropis_girardi,83238707
Notropis_heterolepis,35993350
Notropis_hudsonius,35993540
Notropis_jemezanus,63652406
Notropis_maculatus,86114889
Notropis_oxyrhynchus,89431722
Notropis_texanus,86114927
Notropis_volucellus,83239819
Opsopoeodus_emiliae,31083455
Pimephales_notatus,31083987
Pimephales_promelas,26048330
Platygobio_gracilis,29993986
Catostomus_catostomus,35993502
Catostomus_columbianus,75509095
Catostomus_latipinnis,63652444
Catostomus_macrocheilus,75509056
Catostomus_microps,75517030
Catostomus_rimiculus,75509015
Catostomus_tahoensis,75517144
Catostomus_warnerensis,75509363
Chasmistes_brevirostris,75509171
Deltistes_luxatus,63652254
Thoburnia_rhothoeca,29996418
Moxostoma_duquesnii,86114621
Moxostoma_erythrurum,86114545
Carpiodes_cyprinus,65343617
Barbatula_barbatula,24404654
Hedinichthys_yarkandensis,25020963
Hoplias_malabaricus,67271484
Megaleporinus_obtusidens,32958786
Paracheirodon_innesi,26128644
Corydoras_aeneus,72649983
Horabagrus_brachysoma,27909855
Creteuchiloglanis_macropterus,26374530
Glyptothorax_macromaculatus,38281453
Synodontis_clarias,72627876
Wallago_attu,72646097
Clarias_gariepinus,25103324
Plotosus_lineatus,27108790
Tandanus_tandanus,83248322
Ailia_coila,44802732
Genidens_barbus,89444613
Netuma_thalassina,27982323
Austroglanis_gilli,71457466
Chrysichthys_nigrodigitatus,40487243
Pseudoplatystoma_corruscans,24145640
Pseudoplatystoma_reticulatum,31078449
Sorubim_lima,70586339
Lophiosilurus_alexandri,24145602
Ictalurus_furcatus,26118473
Ictalurus_punctatus,64985983
Pylodictis_olivaris,35198223
Ameiurus_melas,76828629
Ameiurus_natalis,35115169
Ameiurus_nebulosus,35198275
Noturus_albater,88563540
Noturus_exilis,83239895
Noturus_gyrinus,75517258
Coregonus_artedi,35115245
Coregonus_autumnalis,24571102
Coregonus_hoyi,63880692
Thymallus_arcticus,65335892
Thymallus_tugarinae,24691041
Oncorhynchus_gilae,67137833
Oncorhynchus_keta,64989070
Oncorhynchus_mykiss,64985107
Oncorhynchus_tshawytscha,64985733
Salmo_salar,64985308
Salvelinus_alpinus,64984682
Salvelinus_malma,76379311
Salvelinus_namaycush,35115207
Esox_masquinongy,63880809
Esox_niger,63880731
Umbra_limi,26128758
Osmerus_eperlanus,62623743
Spirinchus_thaleichthys,79125215
Thaleichthys_pacificus,75508205
Retropinna_semoni,29289181
Diaphus_theta,76824689
Notoscopelus_resplendens,85138154
Stenobrachius_leucopsarus,76824766
Triphoturus_mexicanus,36280464
Benthosema_pterotum,54597247
Electrona_carlsbergi,35093320
Tarletonbeania_crenularis,76824804
Percopsis_omiscomaycus,76828553
Zeus_faber,72657387
Eleginus_gracilis,42438224
Gadus_macrocephalus,35985467
Brosme_brosme,72614124
Molva_dypterygia,59422264
Coryphaenoides_armatus,84888910
Coelorinchus_caelorhincus,84889214
Merluccius_hubbsi,89444993
Merluccius_productus,76824728
Merluccius_senegalensis,77629764
Eleotris_oxycephala,24146871
Lesueurigobius_friesii,62623819
Neogobius_melanostomus,62623705
Pomatoschistus_minutus,70615622
Rhinogobius_brunneus,26219671
Boleophthalmus_pectinirostris,64988948
Gymnogobius_urotaenia,26219556
Parapocryptes_serperaster,26896814
Taenioides_cirratus,79044988
Hippocampus_hippocampus,42263128
Hippocampus_reidi,26037021
Hippocampus_zosterae,74193660
Phyllopteryx_taeniolatus,74193736
Syngnathoides_biaculeatus,35996574
Mullus_surmuletus,62623781
Upeneus_sulphureus,72648398
Upeneus_tragula,70902015
Rastrelliger_kanagurta,79571982
Acanthocybium_solandri,76330022
Scomberomorus_sierra,31081540
Sarda_orientalis,70613253
Sarda_sarda,62623667
Trichiurus_lepturus,71738378
Mastacembelus_erythrotaenia,33194642
Channa_punctata,40141994
Channa_striata,30511274
Osphronemus_goramy,29288493
Coryphaena_equiselis,89444309
Alepes_djedaba,35996726
Selaroides_leptolepis,26832659
Trachurus_symmetricus,84516906
Naucrates_ductor,84891040
Seriola_dumerili,64989045
Lactarius_lactarius,42438986
Mene_maculata,36278454
Sphyraena_jello,26897157
Sphyraena_sphyraena,88603502
Makaira_nigricans,27437027
Tetrapturus_pfluegeri,27437065
Lates_niloticus,33911411
Paralichthys_dentatus,26898007
Paralichthys_lethostigma,26834539
Hippoglossoides_dubius,75000089
Hippoglossoides_elassodon,84877897
Atheresthes_evermanni,85137539
Atheresthes_stomias,85137577
Cleisthenes_herzensteini,26043599
Eopsetta_jordani,84891231
Liopsetta_glacialis,84877099
Glyptocephalus_stelleri,70624472
Microstomus_achne,75000162
Microstomus_pacificus,84877935
Lepidopsetta_polyxystra,84878201
Lepidopsetta_bilineata,84876035
Parophrys_vetulus,75516840
Pseudopleuronectes_americanus,84517286
Pseudopleuronectes_herzensteini,72647953
Pseudopleuronectes_yokohamae,26043358
Scophthalmus_maximus,64988420
Cynoglossus_joyneri,27922644
Cynoglossus_senegalensis,42263166
Cynoglossus_zanzibarensis,27985443
Symphurus_plagiusa,84890773
Ambassis_agassizii,83247676
Ambassis_gymnocephalus,30898615
Cichla_temensis,86130242
Oreochromis_macrochir,35993768
Sarotherodon_galilaeus,67131843
Atherinomorus_lacunosus,35457120
Leuresthes_tenuis,41792607
Melanotaenia_boesemani,26120926
Melanotaenia_fluviatilis,83248018
Tylosurus_crocodilus,72613616
Cheilopogon_atrisignis,27109322
Cheilopogon_unicolor,27109246
Fundulopanchax_gardneri,41659744
Kryptolebias_marmoratus,64985833
Millerichthys_robustus,89918143
Fundulus_catenatus,86114433
Fundulus_dispar,73927402
Fundulus_luciae,84890126
Fundulus_notatus,26129176
Aphanius_iberus,79504961
Cyprinodon_bovinus,67137795
Cyprinodon_diabolis,27983656
Cyprinodon_elegans,67168435
Cyprinodon_macularius,67137757
Cyprinodon_variegatus,26048368
Gambusia_holbrooki,26128454
Poecilia_latipinna,33409398
Eucinostomus_gula,85137615
Centrolabrus_exoletus,62623972
Ctenolabrus_rupestris,62623895
Xyrichtys_novacula,84890469
Lateolabrax_japonicus,41697920
Dicentrarchus_labrax,22832817
Dicentrarchus_punctatus,22832855
Morone_americana,27923674
Chaetodipterus_faber,89444157
Atrobucca_nibe,34680169
Cynoscion_jamaicensis,89444347
Cynoscion_leiarchus,89444385
Micropogonias_furnieri,89445031
Micropogonias_undulatus,84875693
Pseudotolithus_elongatus,41797530
Totoaba_macdonaldi,84875921
Acanthurus_triostegus,73950195
Zebrasoma_scopas,70636271
Naso_brevirostris,84880137
Naso_hexacanthus,71944584
Emmelichthys_nitidus,89920265
Plagiogeneion_rubiginosum,89920455
Deveximentum_ruconius,67159789
Conodon_nobilis,89444271
Pomadasys_kaakan,67791310
Lutjanus_analis,89444879
Lutjanus_carponotatus,41041941
Lutjanus_erythropterus,29141250
Lutjanus_fulviflamma,40867635
Lutjanus_synagris,84517933
Lutjanus_vitta,40511561
Ocyurus_chrysurus,89445183
Rhomboplites_aurorubens,84517515
Nemipterus_bathybius,27246639
Nemipterus_hexodon,55766200
Nemipterus_randalli,71882662
Sillago_japonica,26121799
Dentex_dentex,36938614
Pagellus_acarne,36488595
Pagellus_erythrinus,36937559
Diplodus_sargus,67273180
Diplodus_cervinus,72856017
Evynnis_tumifrons,26898124
Pagrus_pagrus,79582173
Siganus_argenteus,88582473
Scatophagus_argus,68929133
Priacanthus_macracanthus,26834501
Priacanthus_tayenus,26891985
Lophius_piscatorius,35991364
Stephanolepis_hispidus,84517781
Polyprion_americanus,89445297
Scombrops_boops,24251799
Scombrops_gilberti,26376965
Centrarchus_macropterus,86114318
Pomoxis_annularis,75516688
Pomoxis_nigromaculatus,26129366
Archoplites_interruptus,75516650
Ambloplites_rupestris,33904092
Micropterus_punctulatus,75516802
Lepomis_auritus,35198185
Lepomis_gibbosus,26128834
Lepomis_gulosus,40145188
Lepomis_humilis,86114243
Lepomis_megalotis,86114205
Lepomis_microlophus,75516726
Lepomis_symmetricus,86114280
Maccullochella_ikei,26119124
Maccullochella_peelii,18668580
Nannoperca_vittata,88569492
Terapon_jarbua,24571164
Cephalopholis_fulva,89444119
Epinephelus_marginatus,89444537
Epinephelus_morio,89444575
Hyporthodus_niveatus,89444727
Serranus_scriba,72646681
Percina_maculata,86114584
Percina_peltata,65343655
Percina_sciera,86114661
Percina_shumardi,86114737
Crystallaria_asprella,86114394
Etheostoma_blennioides,65343313
Etheostoma_caeruleum,33904130
Etheostoma_flabellare,40145150
Etheostoma_gracile,86114508
Etheostoma_microperca,88563578
Etheostoma_olmstedi,41699250
Etheostoma_spectabile,40141422
Etheostoma_trisella,54106764
Sander_vitreus,26128872
Echiichthys_vipera,62623934
Chaenodraco_wilsoni,37625104
Chionobathyscus_dewitti,54107262
Chionodraco_hamatus,27109799
Chionodraco_myersi,6295673
Chionodraco_rastrospinosus,38280385
Cryodraco_antarcticus,42893837
Eleginops_maclovinus,30862025
Aethotaxis_mitopteryx,67283768
Gobionotothen_gibberifrons,77663405
Notothenia_rossii,59143373
Pagothenia_borchgrevinki,27982223
Trematomus_bernacchii,63139725
Trematomus_hansoni,88572949
Trematomus_loennbergii,55747804
Trematomus_newnesi,76379572
Trematomus_nicolai,74563665
Prionotus_carolinus,84890811
Prionotus_evolans,84890316
Chelidonichthys_kumu,33133026
Sebastes_aleutianus,38335122
Sebastes_alutus,84876111
Sebastes_auriculatus,84876681
Sebastes_babcocki,87693768
Sebastes_brevispinis,84876833
Sebastes_caurinus,75516954
Sebastes_ciliatus,70623667
Sebastes_constellatus,84876149
Sebastes_crameri,84876909
Sebastes_diploproa,84878543
Sebastes_elongatus,84878429
Sebastes_emphaeus,84878353
Sebastes_entomelas,84876263
Sebastes_fasciatus,34725332
Sebastes_flavidus,84876491
Sebastes_goodei,84876377
Sebastes_jordani,87693806
Sebastes_maliger,67122963
Sebastes_melanops,70623705
Sebastes_melanostomus,84877365
Sebastes_miniatus,84876415
Sebastes_minor,25014828
Sebastes_mystinus,84876225
Sebastes_nebulosus,84876073
Sebastes_norvegicus,67123001
Sebastes_paucispinis,84876947
Sebastes_pinniger,84876453
Sebastes_polyspinis,84891154
Sebastes_proriger,84876643
Sebastes_reedi,84877821
Sebastes_rosaceus,84877403
Sebastes_rosenblatti,84877441
Sebastes_ruberrimus,87693730
Sebastes_saxicola,84876187
Sebastes_taczanowskii,25014449
Sebastes_thompsoni,25014942
Sebastes_variabilis,70623743
Sebastes_variegatus,84877289
Sebastes_viviparus,62623591
Sebastes_vulpes,25014411
Sebastes_wilsoni,84876301
Sebastes_zacentrus,84876339
Sebastolobus_alascanus,84878505
Inimicus_japonicus,59440905
Erilepis_zonifer,24122501
Anarhichas_denticulatus,36838865
Anarhichas_minor,36838981
Zoarces_americanus,88588886
Zoarces_viviparus,89913839
Lycodes_raridens,63367035
Leptoclinus_maculatus,25076545
Stichaeus_grigorjewi,42904287
Stichaeus_punctatus,71888088
Pholis_fangi,27213851
Pholis_gunnellus,62623629
Gasterosteus_aculeatus,39411469
Hexagrammos_stelleri,84878125
Cyclopterus_lumpus,77422081
Myoxocephalus_scorpius,40140064
Cottus_aleuticus,75516764
Cottus_bairdii,26128569
Cottus_beldingii,75508511
Cottus_cognatus,76828591
Cottus_confusus,75508549
Cottus_klamathensis,75508435
Cottus_pitensis,75508780
Cottus_volki,33127638
Gymnocanthus_herzensteini,32879786
Gymnocanthus_detrisus,84877251
Gymnocanthus_pistilliger,84877213
Gymnocanthus_intermedius,32879748
Hemilepidotus_jordani,84877061
Blepsias_cirrhosus,84876985
Gyrinophilus_palleucus,26129328
Siren_lacertina,35985124
Bombina_bombina,41697981
Fejervarya_multistriata,27111006
Xenopus_laevis,64984933
Pelobates_fuscus,60457065
Anaxyrus_americanus,54619890
Bufotes_zamdaensis,44152691
Strauchbufo_raddei,26219064
Leptodactylus_fallax,65341182
Pyxicephalus_adspersus,41662632
Zhangixalus_omeimontis,44789025
Odorrana_grahami,69235817
Pelophylax_bedriagae,26833175
Pelophylax_epeiroticus,24143226
Rana_amurensis,27438395
Rana_temporaria,40143052
Eublepharis_macularius,30861805
Cyrtopodion_scabrum,33195035
Gekko_hokouensis,33362675
Plestiodon_chinensis,26889824
Aspidoscelis_exsanguis,76337605
Aspidoscelis_marmorata,76337719
Aspidoscelis_sexlineatus,76337871
Gallotia_atlantica,69228393
Acanthodactylus_boskianus,69228431
Acanthodactylus_erythrurus,69228469
Darevskia_armeniaca,44149780
Darevskia_clarkorum,58114324
Darevskia_derjugini,58114168
Darevskia_parvula,44149882
Darevskia_raddei,58114285
Darevskia_rudis,44149958
Darevskia_valentini,43964851
Zootoca_vivipara,24146088
Uta_stansburiana,24572952
Vipera_berus,35987402
Sistrurus_catenatus,79046967
Coluber_constrictor,79047005
Rhabdophis_tigrinus,27911088
Emydocephalus_ijimae,74864572
Chelodina_oblonga,36490257
Elseya_albagula,39415999
Elseya_dentata,39416037
Elusor_macrurus,27911408
Emydura_macquarii,39417376
Emydura_victoriae,41699451
Myuchelys_bellii,33912089
Pseudemydura_umbrina,33911129
Pelodiscus_sinensis,76376836
Lepidochelys_olivacea,26382058
Terrapene_carolina,77606962
Chrysemys_picta,64985357
Graptemys_ouachitensis,79025379
Pseudemys_concinna,72128646
Pseudemys_peninsularis,72128684
Aldabrachelys_gigantea,26219784
Geochelone_elegans,39332070
Mauremys_rivulata,26835971
Alligator_mississippiensis,64985248
Crocodylus_porosus,64987255
Struthio_camelus,64985708
Dromaius_novaehollandiae,64985683
Numida_meleagris,32282777
Callipepla_squamata,26889287
Lagopus_lagopus,33874608
Lagopus_muta,31079453
Perdix_perdix,38340193
Phasianus_colchicus,64988798
Gallus_gallus,63549475
Coturnix_japonica,64985908
Tetraogallus_himalayensis,24571140
Clangula_hyemalis,89909612
Mergus_merganser,39121128
Mareca_americana,89909726
Mareca_strepera,42903854
Cygnus_cygnus,24286340
Cygnus_olor,24286378
Phoenicopterus_ruber,26037136
Zenaida_macroura,30215715
Streptopelia_decaocto,36495652
Caloenas_nicobarica,30219780
Ardeotis_kori,62624554
Psophia_crepitans,62624935
Numenius_phaeopus,28253645
Limosa_haemastica,63382734
Arenaria_melanocephala,89909574
Calidris_alpina,70615889
Philomachus_pugnax,54124901
Gallinago_delicata,89909650
Gallinago_gallinago,70601868
Tringa_totanus,41792569
Pinguinus_impennis,29287526
Aethia_cristatella,43560670
Onychoprion_fuscatus,76823857
Sterna_hirundo,35093091
Sterna_paradisaea,42893630
Gelochelidon_nilotica,35093053
Sternula_albifrons,26119564
Rissa_tridactyla,84348641
Stercorarius_longicaudus,78073417
Stercorarius_parasiticus,62624744
Stercorarius_pomarinus,78073261
Stercorarius_skua,78073337
Haematopus_ostralegus,31413024
Charadrius_montanus,89424390
Charadrius_vociferus,62676519
Pluvialis_squatarola,65332443
Steatornis_caripensis,62627075
Cypseloides_fumigatus,32957894
Aerodramus_fuciphagus,63651154
Chaetura_pelagica,26408600
Phaethon_lepturus,24576701
Macronectes_giganteus,87696436
Pagodroma_nivea,58911791
Daption_capense,40866353
