ID,Phylum,Class,Order,Family,ScientificName,CommonName,Mod,MRE,SMSE,COM,rest
Barbus_barbus,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Barbus barbus,Common barbel,abj,0.068,0.007,2.5,"ab, ap, am, Lp, Li, Wwb, Wwp, Wwi, t-L, t-Ww, L-N"
Capoeta_capoeta,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Capoeta capoeta,Caucasian scraper,abj,0.059,0.012,2.5,"am, Lp, Li, Wwb, Ri, t-L, L-Ww"
Capoeta_gracilis,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Capoeta gracilis,Tilkhos,abj,0.086,0.014,2.4,"am, Lp, Li, Wwb, Ri, t-L, t-Ww"
Luciobarbus_sclateri,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Luciobarbus sclateri,Andalusian barbel,abj,0.063,0.009,2.5,"ap, am, Lp, Li, Wwb, GSI, t-L, t-Ww"
Oxygymnocypris_stewartii,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Oxygymnocypris stewartii,Naked Schizothoracin,abj,0.061,0.014,2.5,"ap, am, Lp, Li, Wwb, Wwi, t-L, t-Ww, L-N"
Schizothorax_dulongensis,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Schizothorax dulongensis,Snowtrout,abj,0.076,0.015,2.5,"am, Lp, Li, Wwb, Wwi, Ri, t-L, L-Ww"
Schizothorax_oconnori,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Schizothorax oconnori,Snowtrout,abj,0.057,0.006,2.5,"am, Lp, Li, Wwb, Wwi, Ri, t-L, t-Ww"
Schizothorax_richardsonii,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Schizothorax richardsonii,Common snowtrout,abj,0.201,0.236,2.5,"am, Lp, Li, Wwb, Wwi, Ri, t-L, t-Ww"
Schizothorax_waltoni,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Schizothorax waltoni,Snowtrout,abj,0.059,0.01,2.5,"am, Lp, Li, Wwb, Wwi, t-L, t-Ww, L-N"
Ptychobarbus_dipogon,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Ptychobarbus dipogon,Brahmaputra barbal,abj,0.07,0.016,2.5,"ap, am, Lp, Li, Wwb, t-L, L-Ww, L-N"
Schizopygopsis_selincuoensis,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Schizopygopsis selincuoensis,Selincuo naked carp,abj,0.039,0.008,2.5,"ap, am, Lp, Li, Wwb, Ri, t-L, t-Ww"
Schizopygopsis_younghusbandi,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Schizopygopsis younghusbandi,Brahmaputra carb,abj,0.067,0.009,2.5,"ap, am, Lp, Li, Wwb, Ri, t-L, L-Ww"
Hemiculter_leucisculus,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Hemiculter leucisculus,Sharpbelly,abj,0.079,0.015,2.5,"ab, am, Lp, Li, Wwb, Wwp, Wwi, t-L, L-Ww"
Danio_rerio,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Danio rerio,Zebra fish,abj,0.122,0.031,4.6,"ab, aj, ap, am, L0, Lb, Lj, Lp, Li, Wd0, Wwi, Ri, GSI, t-Le, t-Wwe, t-Wde, t-JCe, t-JNe, t-L_fT, t-Ww_f, t-N, t-S, L-Ww"
Engraulicypris_sardella,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Engraulicypris sardella,Lake Malawi sardine,abj,0.028,0.002,2.5,"ab, ap, am, Lp, Li, Wwb, Wwp, Wwi, t-L, L-N"
Opsaridium_microcephalum,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Opsaridium microcephalum,Mpasa,abj,0.055,0.009,2.5,"ab, ap, am, Lp, Li, Wwb, Wwi, t-L, L-N"
Hypophthalmichthys_molitrix,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Hypophthalmichthys molitrix,Silver carp,abj,0.075,0.01,2.5,"am, Lp, Li, Wwb, Wwp, Wwi, t-L, t-Ww, L-Ww"
Hypophthalmichthys_nobilis,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Hypophthalmichthys nobilis,Bighead carp,abj,0.063,0.01,2.5,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Ctenopharyngodon_idella,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Ctenopharyngodon idella,Grass carp,abj,0.035,0.003,2.5,"ap, am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L, t-Ww"
Tinca_tinca,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Tinca tinca,Tench,abj,0.075,0.01,2.5,"ah, ab, ap, am, Lh, Lb, Lp, Li, Wwb, Wwp, Wwi, t-L, L-N, Ww-N"
Rhodeus_amarus,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Rhodeus amarus,European bitterling,abj,0.075,0.01,2.5,"ab, ap, am, Lb, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Abbottina_rivularis,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Abbottina rivularis,Chinese false gudgeon,abj,0.033,0.003,2.5,"ab, ap, am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Gobio_gobio,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Gobio gobio,Gudgeon,abj,0.142,0.031,2.5,"ah, ab, ap, am, Lb, Lp, Li, Wwb, Wwp, Wwi, Ri, t-Ww"
Romanogobio_albipinnatus,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Romanogobio albipinnatus,White-finned gudgeon,abj,0.04,0.004,2.5,"am, Lp, Li, Wwb, Ri, t-Ww_T, T-ab"
Phoxinus_phoxinus,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Phoxinus phoxinus,European minnow,abj,0.132,0.044,2.8,"ab_T, aj, ap, am, L0, Lb, Lp, Li, JO_W, Ww0, Wwb, Wwi, Ri, t-L, t-Ww, L-Ww, L-N, Ww-JO"
Chrosomus_erythrogaster,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Chrosomus erythrogaster,Southern redbelly dace,abj,0.07,0.012,2.4,"am, Lp, Li, Wwb, Wwp, Wwi, t-L, L-N"
Chrosomus_neogaeus,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Chrosomus neogaeus,Finescale dace,abj,0.024,0.001,2.4,"ab, ap, am, Lp, Li, Wwb, Wwp, Wwi, Ri, dLp"
Chrosomus_oreas,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Chrosomus oreas,Mountain redbelly dace,abj,0.023,0.003,2.5,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Chrosomus_saylori,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Chrosomus saylori,Laurel dace,abj,0.08,0.013,2.5,"ap, am, Lp, Li, Wwb, Wwi, Ri, t-L, L-Ww"
Chrosomus_tennesseensis,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Chrosomus tennesseensis,Tennessee dace,abj,0.025,0.002,2.4,"am, Lp, Li, Wwb, Wwp, Wwi, t-L, L-N"
Gila_atraria,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Gila atraria,Utah chub,abj,0.055,0.013,2.5,"am, Lp, Li, Wwb, Wwp, Wwi, t-L, L-N"
Gila_coerulea,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Gila coerulea,Blue chub,abj,0.046,0.007,2.5,"ab, am, Lp, Li, Wwb, Wwp, Wwi, t-L, L-N"
Gila_cypha,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Gila cypha,Humpback chub,abj,0.045,0.005,2.5,"ah, ap, am, Lb, Li, Wwb, Wwi, R_L, t-L, L-Ww"
Gila_elegans,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Gila elegans,Bonytail chub,abj,0.063,0.01,2.5,"ab, ap, am, Li, Wwb, Wwi, RL, t-L, t-Ww"
Gila_intermedia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Gila intermedia,Gila chub,abj,0.072,0.011,2.5,"ab, ap, am, Lb, Lp, Li, Wwb, Wwi, Ri, t-L"
Gila_pandora,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Gila pandora,Rio Grande chub,abj,0.013,0.001,2.5,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Gila_robusta,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Gila robusta,Roundtail chub,abj,0.042,0.004,2.5,"am, Lp, Li, Wwb, Wwi, Ri, t-L, L-Ww"
Ptychocheilus_lucius,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Ptychocheilus lucius,Colorado pikeminnow,abj,0.072,0.011,2.5,"ap, am, Li, Wwb, Wwi, t-L, L-Ww, Ww-N"
Ptychocheilus_grandis,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Ptychocheilus grandis,Sacramento pikeminnow,abj,0.036,0.002,2.5,"ap, am, Li, Wwb, Wwi, Ri, t-L"
Ptychocheilus_oregonensis,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Ptychocheilus oregonensis,Northern pikeminnow,abj,0.08,0.014,2.5,"ab, ap, am, Lp, Li, Wwb, Wwi, Ri, t-L"
Siphateles_bicolor,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Siphateles bicolor,Tui Chub,abj,0.142,0.043,2.5,"ah, ab, ap, am, Lp, Li, Wwb, Wwi, Ri, t-L, L-N, Ww-N"
Acrocheilus_alutaceus,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Acrocheilus alutaceus,Chiselmouth,abj,0.063,0.006,2.5,"ab_T, ap, am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Lavinia_exilicauda,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Lavinia exilicauda,Hitch,abj,0.067,0.016,2.5,"am, Lp, Li, Wwb, Wwp, Wwi, R_L, t-L"
Alburnus_alburnus,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Alburnus alburnus,Bleak,abj,0.069,0.023,3.0,"ab, am, Lp, Li, Wwb, Wwi, Ri, t-Wd, Wd-pX, Wd-JO"
Alburnus_baliki,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Alburnus baliki,Antalya bleak,abj,0.131,0.033,2.6,"ab, ap, am, Lp, Li, Wwb, Wwi, Ri, t-L, t-Ww, L-Ww"
Alburnoides_bipunctatus,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Alburnoides bipunctatus,Schneider,abj,0.097,0.017,2.6,"ab, ap, am, Li, Wwb, Wwi, Ri, t-L_f, L-Ww"
Alburnoides_eichwaldii_Kaboudval,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Alburnoides eichwaldii Kaboudval,Caspian Spirlin,abj,0.148,0.032,2.5,"ah, ab, ap, am, Lb, Lp, Li, Wwb, Ri, t-L, t-Ww, L-Ww"
Alburnoides_eichwaldii_ShirAbad,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Alburnoides eichwaldii ShirAbad,Caspian Spirlin,abj,0.103,0.019,2.5,"ah, ab, ap, am, Lb, Lp, Li, Wwb, Ri, t-L, t-Ww, L-Ww"
Alburnoides_eichwaldii_Tajan,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Alburnoides eichwaldii Tajan,Caspian Spirlin,abj,0.173,0.041,2.5,"ah, ab, ap, am, Lb, Lp, Li, Wwb, Ri, t-L, t-Ww, L-Ww"
Alburnoides_eichwaldii_ZarrinGol,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Alburnoides eichwaldii ZarrinGol,Caspian Spirlin,abj,0.164,0.159,2.5,"ah, ab, ap, am, Lb, Lp, Li, Wwb, Ri, t-L, t-Ww, L-Ww"
Notemigonus_crysoleucas,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Notemigonus crysoleucas,Golden shiner,abj,0.036,0.008,2.5,"ap, am, Lp, Li, Wwb, Wwp, Wwi, t-L"
Abramis_brama,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Abramis brama,Common bream,abj,0.061,0.011,2.5,"ab, ap, am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Mirogrex_terraesanctae,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Mirogrex terraesanctae,Kinneret bream,abj,0.01,0.0,2.5,"am, Lp, Li, Wwb, Wwi, Ri, L-L"
Vimba_vimba,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Vimba vimba,Vimba bream,abj,0.067,0.008,2.5,"am, Lp, Li, Wwb, Wwi, Ri, t-L, L-Ww"
Chondrostoma_nasus,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Chondrostoma nasus,Common nase,abj,0.123,0.158,2.6,"ap, am, Lp, Li, Wwb, Ri, t-L_f, L-Ww, T-ab"
Iberochondrostoma_lemmingii,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Iberochondrostoma lemmingii,Iberian cyprinid,abj,0.036,0.003,2.4,"am, Lp, Li, Wwb, Wwp, Wwi, GSI, t-L"
Pseudochondrostoma_polylepis,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Pseudochondrostoma polylepis,Iberian nase,abj,0.04,0.003,2.4,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L_f"
Rutilus_rutilus,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Rutilus rutilus,Common roach,abj,0.224,0.111,2.6,"ab, ap, am, Lp, Li, Wwb, Wwp, Wwi, R_L, t-L_f"
Scardinius_erythrophthalmus,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Scardinius erythrophthalmus,Common rudd,abj,0.049,0.004,2.5,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Squalius_cephalus,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Squalius cephalus,European Chub,abj,0.137,0.035,2.7,"ah_T, ab_T, ap, am, Lh, Lb, Lp, Li, Wwh, Wwb, Wwi, Ri, t-L, t-Ww, L-Ww, L-N, Ww-N"
Squalius_cii,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Squalius cii,Marmara chub,abj,0.08,0.014,2.5,"am, Lp, Li, Wwb, GSI, t-L, L-Ww"
Squalius_pyrenaicus,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Squalius pyrenaicus,Iberian chub,abj,0.022,0.001,2.5,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Hemitremia_flammea,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Hemitremia flammea,Flame chub,abj,0.011,0.002,2.5,"ab, am, Lp, Li, Wwb, Wwp, Wwi, t-L, L-N"
Meda_fulgida,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Meda fulgida,Spikedace,abj,0.022,0.001,2.5,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Lepidomeda_albivallis,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Lepidomeda albivallis,White River spinedace,abj,0.046,0.006,2.3,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Lepidomeda_aliciae,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Lepidomeda aliciae,Southern leatherside chub,abj,0.026,0.001,2.5,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Lepidomeda_copei,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Lepidomeda copei,Northern leatherside chub,abj,0.013,0.0,2.5,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Semotilus_atromaculatus,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Semotilus atromaculatus,Creek chub,abj,0.053,0.005,2.5,"am, Lp, Li, Wwb, Ri, t-L, L-Ww"
Semotilus_corporalis,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Semotilus corporalis,Fallfish,abj,0.043,0.004,2.6,"am, Lp, Li, Wwb, Wwi, Ri, t-L"
Margariscus_margarita,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Margariscus margarita,Allegheny pearl dace,abj,0.039,0.002,2.6,"am, Lp, Li, Wwb, Wwi, Ri, t-L"
Rhynchocypris_oxycephalus,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Rhynchocypris oxycephalus,Chinese minnow,abj,0.061,0.009,2.5,"am, Lp, Li, Wwb, Wwi, R_L, t-L"
Iotichthys_phlegethontis,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Iotichthys phlegethontis,Least chub,abj,0.044,0.003,2.3,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Mylocheilus_caurinus,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Mylocheilus caurinus,Peamouth,abj,0.03,0.001,2.5,"am, Lp, Li, Wwb, Wwp, Wwi, t-L, L-N"
Pogonichthys_macrolepidotus,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Pogonichthys macrolepidotus,Sacramento splittail,abj,0.068,0.007,2.5,"ap, am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Richardsonius_egregius,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Richardsonius egregius,Lahontan redside,abj,0.032,0.004,2.5,"am, Lp, Li, Wwb, Wwp, Wwi, t-L, L-N, L-Ww"
Exoglossum_maxillingua,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Exoglossum maxillingua,Cutlib minnow,abj,0.029,0.001,2.3,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Oregonichthys_crameri,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Oregonichthys crameri,Oregon chub,abj,0.024,0.001,2.5,"ab, am, Lp, Li, Wwb, Wwi, Ri, t-L"
Rhinichthys_atratulus,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Rhinichthys atratulus,Eastern blacknose dace,abj,0.065,0.005,2.4,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L_f"
Rhinichthys_cataractae,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Rhinichthys cataractae,Longnose dace,abj,0.015,0.001,2.4,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L_f"
Campostoma_anomalum,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Campostoma anomalum,Central stoneroller,abj,0.06,0.007,2.5,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Agosia_chrysogaster,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Agosia chrysogaster,Longfin dace,abj,0.097,0.028,2.5,"am, Lp, Li, Wwb, Wwp, Wwi, t-L, L-N"
Blicca_bjoerkna,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Blicca bjoerkna,White bream,abj,0.151,0.146,2.5,"ah, ab, ap, am, Lb, Lp, Li, Wwb, Ri, t-L, t-Ww, L-Ww"
Cyprinella_analostana,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Cyprinella analostana,Satinfin shiner,abj,0.034,0.003,2.5,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L, L-Ww"
Cyprinella_lutrensis,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Cyprinella lutrensis,Red shiner,abj,0.028,0.001,2.5,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Cyprinella_trichroistia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Cyprinella trichroistia,Tricolor shiner,abj,0.044,0.003,2.5,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Cyprinella_venusta,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Cyprinella venusta,Blacktail shiner,abj,0.025,0.001,2.5,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Dionda_argentosa,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Dionda argentosa,Manantial roundnose minnow,abj,0.055,0.007,2.5,"am, Lp, Li, Wwb, Wwi, Ri, t-L"
Dionda_diaboli,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Dionda diaboli,Devils River minnow,abj,0.084,0.018,2.5,"ah, ab, am, Lb, Lp, Li, Wwb, Wwi, Ri, t-L"
Hybognathus_amarus,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Hybognathus amarus,Rio Grande silvery minnow,abj,0.05,0.016,2.3,"am, Lp, Li, Wwb, Wwp, Wwi, t-L_f, L-N"
Hybognathus_nuchalis,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Hybognathus nuchalis,Mississippi silvery minnow,abj,0.051,0.006,2.3,"am, Lp, Li, Wwb, Wwp, Wwi, t-L_f, L-N"
Hybognathus_placitus,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Hybognathus placitus,Plains minnow,abj,0.032,0.003,2.3,"am, Lp, Li, Wwb, Wwp, Wwi, t-L_f, L-N"
Hybopsis_amnis,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Hybopsis amnis,Pallid shiner,abj,0.023,0.001,1.9,"am, Lp, Li, Wwb, Wwp, Wwi, Ri"
Luxilus_chrysocephalus,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Luxilus chrysocephalus,Striped shiner,abj,0.088,0.045,2.5,"ap, am, Lp, Li, Wwb, GSI, t_Ww, t-L"
Luxilus_cornutus,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Luxilus cornutus,Common shiner,abj,0.046,0.006,2.5,"ap, am, Lp, Li, Wwb, Wwp, Wwi, t-L_f, Ww-N"
Luxilus_pilsbryi,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Luxilus pilsbryi,Duskystripe shiner,abj,0.059,0.014,2.5,"am, Lp, Li, Wwb, GSI, t_Ww, t-L"
Lythrurus_roseipinnis,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Lythrurus roseipinnis,Cherryfin shiner,abj,0.042,0.008,2.5,"am, Lp, Li, Wwb, Wwi, t-L, L-N"
Lythrurus_umbratilis,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Lythrurus umbratilis,Redfin shiner,abj,0.025,0.002,2.3,"am, Lp, Li, Wwb, Wwp, Wwi, Ri"
Macrhybopsis_gelida,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Macrhybopsis gelida,Sturgeon chub,abj,0.027,0.007,2.5,"ap, am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Macrhybopsis_hyostoma,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Macrhybopsis hyostoma,Shoal chub,abj,0.037,0.007,2.5,"ap, am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Macrhybopsis_meeki,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Macrhybopsis meeki,Sicklefin chub,abj,0.097,0.059,2.5,"ap, am, Lp, Li, Wwb, Wwp, Wwi, t-L, L-N"
Macrhybopsis_storeriana,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Macrhybopsis storeriana,Silver chub,abj,0.016,0.0,2.1,"tp, am, Lp, Li, Wwb, Wwp, Wwi, Ri, tL"
Moapa_coriacea,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Moapa coriacea,Moapa dace,abj,0.094,0.035,2.5,"ap, am, Lp, Li, Wwb, Wwp, Wwi, L-dL, L-N"
Notropis_amabilis,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Notropis amabilis,Texas shiner,abj,0.019,0.001,2.3,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Notropis_atherinoides,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Notropis atherinoides,Emerald shiner,abj,0.034,0.004,2.5,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Notropis_atrocaudalis,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Notropis atrocaudalis,Blackspot shiner,abj,0.02,0.001,2.3,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Notropis_bifrenatus,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Notropis bifrenatus,Bridled shiner,abj,0.08,0.01,2.5,"am, Lp, Li, Wwb, Wwi, t-L, L-N"
Notropis_blennius,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Notropis blennius,River shiner,abj,0.026,0.001,2.5,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Notropis_boops,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Notropis boops,Bigeye shiner,abj,0.029,0.002,2.5,"am, Lp, Li, Wwb, Wwi, GSI, t-L"
Notropis_buccula,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Notropis buccula,Smalleye shiner,abj,0.049,0.006,2.3,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Notropis_buccatus,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Notropis buccatus,Bluntnose minnow,abj,0.066,0.007,2.5,"am, Lp, Li, Wwb, Ri, t-L, t-Ww, L-Ww"
Notropis_buchanani,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Notropis buchanani,Ghost shiner,abj,0.039,0.002,2.3,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Notropis_chalybaeus,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Notropis chalybaeus,Ironcolor shiner,abj,0.085,0.021,2.5,"am, Lp, Li, Wwb, Wwp, Wwi, t-L, L-N"
Notropis_chrosomus,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Notropis chrosomus,Rainbow shiner,abj,0.052,0.01,2.3,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L_f, t-Ww"
Notropis_girardi,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Notropis girardi,Arkansas River shiner,abj,0.072,0.012,2.3,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Notropis_heterolepis,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Notropis heterolepis,Blacknose shiner,abj,0.008,0.0,2.5,"am, Lp, Li, Wwb, Wwi, t-L, L-N"
Notropis_hudsonius,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Notropis hudsonius,Spottail shiner,abj,0.037,0.006,2.3,"am, Lp, Li, Wwb, t-L, L-Ww, L-N"
Notropis_jemezanus,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Notropis jemezanus,Rio Grande shiner,abj,0.031,0.002,2.3,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Notropis_longirostris,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Notropis longirostris,Longnose shiner,abj,0.08,0.014,2.5,"am, Lp, Li, Wwb, Wwi, t-L, L-N"
Notropis_maculatus,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Notropis maculatus,Taillight shiner,abj,0.025,0.001,2.5,"ab, am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Notropis_oxyrhynchus,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Notropis oxyrhynchus,Sharpnose shiner,abj,0.067,0.008,2.3,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Notropis_petersoni,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Notropis petersoni,Coastal shiner,abj,0.043,0.003,2.5,"am, Lp, Li, Wwb, Wwi, t-L, L-N"
Notropis_potteri,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Notropis potteri,Chub shiner,abj,0.03,0.001,2.3,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-L"
Notropis_rafinesquei,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Notropis rafinesquei,Yazoo shiner,abj,0.039,0.006,2.3,"am, Lp, Li, Wwb, Ri, t-L, L-Ww"
Notropis_rubellus,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Notropis rubellus,Rosyface shiner,abj,0.023,0.001,2.5,"am, Lp, Li, Wwb, Wwi, Ri, t-L"
